HumanOS backend listening on http://127.0.0.1:8787
External access uses http://<server-ip>:8787
SQLite database: D:\TUe\OneDrive - TU Eindhoven\Humanos\humanos-syy7\backend\data\humanos.db
[06/Aug/2026 18:22:56] "OPTIONS /api/tasks?user_id=user_a28f818bb1c3 HTTP/1.1" 204 -
[06/Aug/2026 18:22:56] "POST /api/tasks?user_id=user_a28f818bb1c3 HTTP/1.1" 201 -
[06/Aug/2026 18:22:56] "OPTIONS /api/tasks?user_id=user_a28f818bb1c3 HTTP/1.1" 204 -
[06/Aug/2026 18:22:56] "POST /api/tasks?user_id=user_a28f818bb1c3 HTTP/1.1" 201 -
[06/Aug/2026 18:22:56] "OPTIONS /api/state-checkins HTTP/1.1" 204 -
[06/Aug/2026 18:22:56] "POST /api/state-checkins HTTP/1.1" 201 -
[06/Aug/2026 18:22:56] "OPTIONS /api/schedules/decide HTTP/1.1" 204 -
[06/Aug/2026 18:23:32] "POST /api/schedules/decide HTTP/1.1" 200 -
[06/Aug/2026 18:23:33] "OPTIONS /api/health HTTP/1.1" 204 -
[06/Aug/2026 18:23:33] "GET /api/health HTTP/1.1" 200 -
[06/Aug/2026 18:33:10] "GET /api/health HTTP/1.1" 200 -
[06/Aug/2026 18:33:49] "OPTIONS /api/health HTTP/1.1" 204 -
[06/Aug/2026 18:33:49] "GET /api/health HTTP/1.1" 200 -
[06/Aug/2026 18:33:49] "OPTIONS /api/auth/register HTTP/1.1" 204 -
[06/Aug/2026 18:33:49] "POST /api/auth/register HTTP/1.1" 201 -
[06/Aug/2026 18:33:49] "OPTIONS /api/health HTTP/1.1" 204 -
[06/Aug/2026 18:33:49] "GET /api/health HTTP/1.1" 200 -
[06/Aug/2026 18:33:49] "OPTIONS /api/profile?user_id=user_3a83aeec06a0 HTTP/1.1" 204 -
[06/Aug/2026 18:33:49] "GET /api/profile?user_id=user_3a83aeec06a0 HTTP/1.1" 200 -
[06/Aug/2026 18:33:49] "OPTIONS /api/tasks?user_id=user_3a83aeec06a0 HTTP/1.1" 204 -
[06/Aug/2026 18:33:49] "GET /api/tasks?user_id=user_3a83aeec06a0 HTTP/1.1" 200 -
